cusip,assets_nis_1000s,assets_usd,assets_usd_mn
1096502.0,14680.0,4081178.76,4.08
1097971.0,25257.0,7021684.74,7.02
1125319.0,2260710.0,628498748.96,628.5
1125327.0,1921652.0,534237420.07,534.24
1125368.0,39657.0,11025020.85,11.03
1125350.0,20680.0,5749235.47,5.75
1108364.0,62668.0,17422296.36,17.42
1097187.0,10858.0,3018626.63,3.02
1097195.0,2633.0,731998.89,0.73
1097203.0,2733.0,759799.83,0.76
1101385.0,26455.0,7354740.06,7.35
1101393.0,23567.0,6551848.76,6.55
1101419.0,94244.0,26200722.82,26.2
1101427.0,38491.0,10700861.83,10.7
1101435.0,62706.0,17432860.72,17.43
1108372.0,7171.0,1993605.78,1.99
1125343.0,139886.0,38889630.25,38.89
1125335.0,49541.0,13772866.28,13.77
1121805.0,11206.0,3115373.92,3.12
1121813.0,8365.0,2325549.07,2.33
1121789.0,37097.0,10313316.65,10.31
1096478.0,1485.0,412844.04,0.41
1107978.0,2657.0,738671.11,0.74
1107994.0,30024.0,8346955.8,8.35
1114552.0,2789.0,775368.36,0.78
1116573.0,1723.0,479010.29,0.48
1114578.0,247.0,68668.33,0.07
1116581.0,164097.0,45620517.1,45.62
1101443.0,1400718.0,389412844.04,389.41
1109461.0,632272.0,175777592.44,175.78
1109479.0,306214.0,85130386.43,85.13
1125228.0,76150.0,21170419.79,21.17
1125293.0,50264.0,13973867.11,13.97
1125301.0,22719.0,6316096.75,6.32
1108158.0,39919.0,11097859.33,11.1
1108190.0,133029.0,36983319.43,36.98
1101344.0,142475.0,39609396.72,39.61
1101351.0,65576.0,18230747.85,18.23
1108166.0,21204.0,5894912.43,5.89
1108174.0,87125.0,24221573.53,24.22
1101377.0,75445.0,20974423.13,20.97
1108182.0,29970.0,8331943.29,8.33
1125236.0,8530.0,2371420.63,2.37
1125244.0,203463.0,56564637.2,56.56
1125251.0,92902.0,25827634.14,25.83
1121771.0,48364.0,13445649.15,13.45
1104199.0,10641.0,2958298.58,2.96
1104215.0,9961.0,2769252.15,2.77
1108380.0,17991.0,5001668.06,5.0
1108398.0,5446.0,1514039.48,1.51
1116599.0,4790.0,1331665.28,1.33
1129139.0,222248.0,61787044.76,61.79
1129113.0,51615.0,14349457.88,14.35
1128891.0,69213.0,19241868.22,19.24
1129147.0,28682.0,7973867.11,7.97
1129162.0,624680.0,173666944.68,173.67
1113703.0,767008.0,213235474.01,213.24
1113232.0,1280242.0,355919377.26,355.92
1113745.0,505410.0,140508757.3,140.51
1116383.0,100058.0,27817069.78,27.82
1116417.0,16938.0,4708924.1,4.71
1116409.0,27682.0,7695857.66,7.7
1113752.0,393009.0,109260216.85,109.26
1116391.0,54663.0,15196830.69,15.2
1116284.0,15223.0,4232137.89,4.23
1122613.0,12847.0,3571587.43,3.57
1122621.0,12688.0,3527383.93,3.53
1113711.0,7467.0,2075896.58,2.08
1113729.0,82299.0,22879899.92,22.88
1120831.0,33142.0,9213789.27,9.21
1116425.0,74534.0,20721156.52,20.72
1116433.0,114953.0,31958020.57,31.96
1113265.0,55104.0,15319432.86,15.32
1113737.0,3619.0,1006116.21,1.01
1120864.0,53409.0,14848206.84,14.85
1116292.0,357567.0,99407005.84,99.41
1113240.0,510046.0,141797609.12,141.8
1113760.0,157147.0,43688351.4,43.69
1113257.0,498209.0,138506811.23,138.51
1127778.0,293619.0,81628857.38,81.63
1127786.0,91245.0,25366972.48,25.37
1128578.0,200286.0,55681401.17,55.68
1130343.0,108083.0,30048095.64,30.05
1132638.0,42446.0,11800389.21,11.8
1134725.0,22692.0,6308590.49,6.31
1137769.0,42251.0,11746177.37,11.75
