cusip,assets_nis_1000s,assets_usd,assets_usd_mn
1084656.0,738743.0,201980314.42,201.98
1096593.0,1283894.0,351030485.3,351.03
1104645.0,730982.0,199858373.21,199.86
1099506.0,54461.0,14890225.56,14.89
1113307.0,641964.0,175519890.64,175.52
1115740.0,31927.0,8729186.6,8.73
1114263.0,79529.0,21744087.49,21.74
1118769.0,173171.0,47346821.6,47.35
1125806.0,19471.0,5323581.68,5.32
1104603.0,545578.0,149166917.29,149.17
1109412.0,363416.0,99361859.19,99.36
1109420.0,1668375.0,456151742.99,456.15
1116326.0,1468587.0,401527546.14,401.53
1107945.0,133266.0,36436363.64,36.44
1109438.0,59419.0,16245796.31,16.25
1109446.0,530073.0,144927682.84,144.93
1109453.0,306266.0,83736431.99,83.74
1112853.0,21725.0,5939849.62,5.94
1112861.0,94095.0,25726589.2,25.73
1112879.0,241067.0,65910321.26,65.91
1118389.0,68067.0,18610252.9,18.61
1127752.0,343674.0,93964183.19,93.96
1127760.0,132592.0,36252084.76,36.25
1096635.0,236315.0,64611073.14,64.61
1107903.0,11006.0,3009159.26,3.01
1117399.0,1193461.0,326305126.45,326.31
1116060.0,667205.0,182421052.63,182.42
1118801.0,686666.0,187741900.21,187.74
1120195.0,287310.0,78553656.87,78.55
1120187.0,154081.0,42127409.43,42.13
1122795.0,62895.0,17196172.25,17.2
1107937.0,7801.0,2132877.65,2.13
1099522.0,23937.0,6544634.31,6.54
1104637.0,39929.0,10917019.82,10.92
1107895.0,10130.0,2769651.4,2.77
1123652.0,205275.0,56124401.91,56.12
1120203.0,308960.0,84473000.68,84.47
1099530.0,5777.0,1579494.19,1.58
1104629.0,37524.0,10259466.85,10.26
1117563.0,7940.0,2170881.75,2.17
1122779.0,4921.0,1345454.55,1.35
1122787.0,13691.0,3743267.26,3.74
1107911.0,11921.0,3259330.14,3.26
1107929.0,31961.0,8738482.57,8.74
1124098.0,39519.0,10804921.39,10.8
1125749.0,104098.0,28461517.43,28.46
1124106.0,65480.0,17902939.17,17.9
1096627.0,4649.0,1271086.81,1.27
1099555.0,4211.0,1151332.88,1.15
1096650.0,8104.0,2215721.12,2.22
1126242.0,109087.0,29825563.91,29.83
1126440.0,7466.0,2041285.03,2.04
1126465.0,17606.0,4813670.54,4.81
1124114.0,229457.0,62736021.87,62.74
1124122.0,74282.0,20309501.03,20.31
1115229.0,60360.0,16503075.87,16.5
1115237.0,26441.0,7229254.96,7.23
1116052.0,42233.0,11546958.3,11.55
1117381.0,7452.0,2037457.28,2.04
1117878.0,43735.0,11957621.33,11.96
1118371.0,3319.0,907450.44,0.91
1118397.0,2864.0,783048.53,0.78
1126457.0,16633.0,4547641.83,4.55
1124130.0,1948.0,532604.24,0.53
1126473.0,975.0,266575.53,0.27
1125798.0,4857.0,1327956.25,1.33
1129006.0,82017.0,22424333.56,22.42
1127950.0,63315.0,17311004.78,17.31
1128529.0,369926.0,101141763.5,101.14
1128495.0,556635.0,152190020.51,152.19
1128503.0,186974.0,51120710.87,51.12
1128511.0,103277.0,28237047.16,28.24
1129964.0,515022.0,140812576.9,140.81
1129972.0,198057.0,54150922.76,54.15
1130046.0,696875.0,190533151.06,190.53
1130004.0,101071.0,27633902.94,27.63
1130053.0,3265.0,892686.26,0.89
1130061.0,5237.0,1431852.36,1.43
1130079.0,4269.0,1167190.7,1.17
1130087.0,3917.0,1070950.1,1.07
1131283.0,27152.0,7423650.03,7.42
1131325.0,37125.0,10150375.94,10.15
1131333.0,24804.0,6781681.48,6.78
1131358.0,48577.0,13281476.42,13.28
1131374.0,71670.0,19595352.02,19.6
1131309.0,517709.0,141547231.72,141.55
1131317.0,2090.0,571428.57,0.57
1131341.0,30332.0,8293096.38,8.29
1131291.0,302368.0,82670676.69,82.67
1131366.0,26913.0,7358304.85,7.36
1131382.0,11007.0,3009432.67,3.01
1131978.0,57249.0,15652494.87,15.65
1131986.0,32044.0,8761175.67,8.76
1132109.0,75330.0,20596035.54,20.6
1132455.0,11665.0,3189336.98,3.19
1132463.0,8575.0,2344497.61,2.34
1132489.0,4628.0,1265345.18,1.27
1132497.0,105003.0,28708954.2,28.71
1132588.0,134660.0,36817498.29,36.82
1132471.0,549.0,150102.53,0.15
1132117.0,70732.0,19338892.69,19.34
1133255.0,239102.0,65373069.04,65.37
1133263.0,131894.0,36061244.02,36.06
1133909.0,301140.0,82334928.23,82.33
1133917.0,160572.0,43902118.93,43.9
1134519.0,281504.0,76966233.77,76.97
1134527.0,170500.0,46616541.35,46.62
1134535.0,315025.0,86131237.18,86.13
1134543.0,125218.0,34235953.52,34.24
1134550.0,885003.0,241969377.99,241.97
1134568.0,878493.0,240189473.68,240.19
1134576.0,278422.0,76123581.68,76.12
1134584.0,46518.0,12718523.58,12.72
1134592.0,110796.0,30292822.97,30.29
1134600.0,88763.0,24268762.82,24.27
1134626.0,27760.0,7589883.8,7.59
1134618.0,41152.0,11251401.23,11.25
1135276.0,121411.0,33195078.61,33.2
1135268.0,32028.0,8756801.09,8.76
1135292.0,125486.0,34309227.61,34.31
1135284.0,10522.0,2876828.43,2.88
1135334.0,70203.0,19194258.37,19.19
1135326.0,81617.0,22314969.24,22.31
1135300.0,26648.0,7285850.99,7.29
1135318.0,18567.0,5076418.32,5.08
1135359.0,38437.0,10509090.91,10.51
1135342.0,27457.0,7507040.33,7.51
1135953.0,86787.0,23728503.08,23.73
1135961.0,124883.0,34144360.9,34.14
1136332.0,9409.0,2572522.21,2.57
1136340.0,16919.0,4625837.32,4.63
1136357.0,526.0,143814.08,0.14
1137991.0,26079.0,7130280.25,7.13
1138007.0,8884.0,2428981.54,2.43
1138015.0,530214.0,144966233.77,144.97
1138023.0,247881.0,67773342.45,67.77
1138080.0,41668.0,11392481.2,11.39
1138031.0,7953.0,2174436.09,2.17
1138049.0,24247.0,6629391.66,6.63
1138056.0,2348.0,641968.56,0.64
1138064.0,79515.0,21740259.74,21.74
1138072.0,145302.0,39727136.02,39.73
1138783.0,3640.0,995215.31,1.0
1138791.0,8851.0,2419958.99,2.42
1138809.0,27046.0,7394668.49,7.39
1139047.0,105266.0,28780861.24,28.78
1139054.0,19567.0,5349829.12,5.35
1139062.0,7712.0,2108544.09,2.11
1096437.0,819313.0,224009022.56,224.01
1096486.0,1034543.0,282855228.98,282.86
1096494.0,26884.0,7350375.94,7.35
1096502.0,15196.0,4154750.51,4.15
1097971.0,24078.0,6583185.24,6.58
1125319.0,2364986.0,646612713.6,646.61
1125327.0,1929507.0,527548051.95,527.55
1125368.0,38692.0,10578810.66,10.58
1125350.0,20160.0,5511961.72,5.51
1108364.0,56138.0,15348735.48,15.35
1097187.0,10786.0,2949008.89,2.95
1097195.0,3788.0,1035680.11,1.04
1097203.0,2792.0,763362.95,0.76
1101385.0,20543.0,5616678.06,5.62
1101393.0,20743.0,5671360.22,5.67
1101419.0,87248.0,23854545.45,23.85
1101427.0,64033.0,17507313.74,17.51
1101435.0,60424.0,16520574.16,16.52
1108372.0,6606.0,1806151.74,1.81
1125343.0,147691.0,40380314.42,40.38
1125335.0,53044.0,14502802.46,14.5
1121805.0,8693.0,2376760.08,2.38
1121813.0,10476.0,2864251.54,2.86
1121789.0,38671.0,10573069.04,10.57
1096478.0,1435.0,392344.5,0.39
1107978.0,2419.0,661380.72,0.66
1107994.0,30583.0,8361722.49,8.36
1114552.0,2850.0,779220.78,0.78
1116573.0,533.0,145727.96,0.15
1114578.0,246.0,67259.06,0.07
1116581.0,162208.0,44349419.0,44.35
1101443.0,1394528.0,381279015.72,381.28
1109461.0,644012.0,176079835.95,176.08
1109479.0,301475.0,82426520.85,82.43
1125228.0,77276.0,21128092.96,21.13
1125293.0,50074.0,13690772.39,13.69
1125301.0,22554.0,6166507.18,6.17
1108158.0,39900.0,10909090.91,10.91
1108190.0,132645.0,36266575.53,36.27
1101344.0,140931.0,38532057.42,38.53
1101351.0,65537.0,17918523.58,17.92
1108166.0,21045.0,5753930.28,5.75
1108174.0,86551.0,23663978.13,23.66
1101377.0,74090.0,20257006.15,20.26
1108182.0,29482.0,8060697.2,8.06
1125236.0,11404.0,3117976.76,3.12
1125244.0,238181.0,65121257.69,65.12
1125251.0,98267.0,26867259.06,26.87
1121771.0,48352.0,13219958.99,13.22
1104199.0,10820.0,2958304.85,2.96
1104207.0,3585.0,980177.72,0.98
1104215.0,10150.0,2775119.62,2.78
1108380.0,18353.0,5017908.41,5.02
1108398.0,5698.0,1557894.74,1.56
1116599.0,5090.0,1391660.97,1.39
1129139.0,273678.0,74826520.85,74.83
1129113.0,90611.0,24774025.97,24.77
1128891.0,69348.0,18960492.14,18.96
1129147.0,27069.0,7400956.94,7.4
1129162.0,692981.0,189468489.41,189.47
1113703.0,849811.0,232347505.13,232.35
1113232.0,1390354.0,380137799.04,380.14
1113745.0,476226.0,130205331.51,130.21
1116383.0,116985.0,31984962.41,31.98
1116417.0,15573.0,4257826.38,4.26
1116409.0,23802.0,6507723.86,6.51
1113752.0,365201.0,99849897.47,99.85
1116391.0,52127.0,14252084.76,14.25
1116284.0,13122.0,3587696.51,3.59
1122613.0,14900.0,4073820.92,4.07
1122621.0,12494.0,3415994.53,3.42
1113711.0,7202.0,1969104.58,1.97
1113729.0,82636.0,22593574.85,22.59
1120831.0,31316.0,8562132.6,8.56
1116425.0,78820.0,21550239.23,21.55
1116433.0,120393.0,32916746.41,32.92
1113265.0,61255.0,16747778.54,16.75
1113737.0,3928.0,1073957.62,1.07
1120864.0,56862.0,15546684.89,15.55
1116292.0,343526.0,93923718.39,93.92
1113240.0,497033.0,135894190.02,135.89
1113760.0,155912.0,42628024.61,42.63
1113257.0,453990.0,124125768.97,124.13
1127778.0,288456.0,78866985.65,78.87
1127786.0,85118.0,23272180.45,23.27
1128578.0,194689.0,53230075.19,53.23
1130343.0,120244.0,32876008.2,32.88
1132638.0,41740.0,11412166.78,11.41
1134725.0,19328.0,5284483.94,5.28
1137769.0,30630.0,8374572.8,8.37
1137751.0,11529.0,3152153.11,3.15
1123223.0,12816.0,3504032.81,3.5
