cusip,assets_nis_1000s,assets_usd,assets_usd_mn
1084656.0,728893.0,194589406.8,194.59
1096593.0,1282910.0,342492925.41,342.49
1104645.0,974490.0,260155374.02,260.16
1099506.0,51964.0,13872603.98,13.87
1113307.0,611967.0,163374179.08,163.37
1115740.0,31008.0,8278071.44,8.28
1114263.0,107995.0,28830957.34,28.83
1118769.0,181412.0,48430775.8,48.43
1125806.0,19500.0,5205830.53,5.21
1104603.0,543678.0,145143360.56,145.14
1109412.0,362250.0,96708313.31,96.71
1109420.0,1683725.0,449496769.72,449.5
1116326.0,1465367.0,391202680.34,391.2
1107945.0,134912.0,36016872.23,36.02
1109438.0,60374.0,16117785.25,16.12
1109446.0,536854.0,143321586.84,143.32
1109453.0,306059.0,81707245.45,81.71
1112853.0,23432.0,6255539.54,6.26
1112861.0,96027.0,25635912.22,25.64
1112879.0,250243.0,66806289.71,66.81
1118389.0,69345.0,18512734.26,18.51
1127752.0,353101.0,94265844.41,94.27
1127760.0,136385.0,36410112.66,36.41
1096635.0,238220.0,63596561.48,63.6
1107903.0,11237.0,2999893.21,3.0
1117399.0,1171016.0,312621068.93,312.62
1116060.0,657175.0,175443163.01,175.44
1118801.0,678656.0,181177852.53,181.18
1120195.0,288394.0,76991296.92,76.99
1120187.0,154201.0,41166373.0,41.17
1122795.0,60625.0,16184793.64,16.18
1107937.0,7965.0,2126381.55,2.13
1099522.0,34420.0,9188958.3,9.19
1104637.0,41733.0,11141278.23,11.14
1107895.0,10724.0,2862939.83,2.86
1123652.0,211783.0,56538790.11,56.54
1120203.0,302150.0,80663676.65,80.66
1099530.0,5631.0,1503283.68,1.5
1104629.0,37295.0,9956484.6,9.96
1117563.0,7822.0,2088205.46,2.09
1122779.0,6010.0,1604463.67,1.6
1122787.0,13603.0,3631533.98,3.63
1107911.0,12178.0,3251107.91,3.25
1107929.0,32230.0,8604303.49,8.6
1124098.0,40780.0,10886859.95,10.89
1125749.0,107501.0,28699076.3,28.7
1124106.0,71511.0,19090981.9,19.09
1096627.0,4952.0,1322013.99,1.32
1099555.0,4305.0,1149287.2,1.15
1096650.0,9885.0,2638955.63,2.64
1126242.0,111386.0,29736237.92,29.74
1126440.0,7987.0,2132254.79,2.13
1126465.0,30975.0,8269261.57,8.27
1124114.0,247399.0,66047039.35,66.05
1124122.0,76269.0,20361204.55,20.36
1115229.0,64299.0,17165625.5,17.17
1115237.0,27766.0,7412568.74,7.41
1116052.0,43616.0,11643974.58,11.64
1117381.0,8182.0,2184313.1,2.18
1117878.0,45714.0,12204068.56,12.2
1118371.0,3439.0,918094.93,0.92
1118397.0,2899.0,773933.47,0.77
1126457.0,17332.0,4627048.96,4.63
1124130.0,10004.0,2670724.54,2.67
1126473.0,1043.0,278445.19,0.28
1125798.0,4914.0,1311869.29,1.31
1129006.0,84557.0,22573816.01,22.57
1127950.0,62359.0,16647712.1,16.65
1128529.0,368334.0,98332532.44,98.33
1128495.0,572413.0,152814619.04,152.81
1128503.0,186436.0,49772011.32,49.77
1128511.0,113079.0,30188210.8,30.19
1129964.0,502387.0,134120081.16,134.12
1129972.0,193817.0,51742484.92,51.74
1130046.0,688055.0,183687062.84,183.69
1130004.0,101086.0,26986491.54,26.99
1130053.0,3488.0,931176.25,0.93
1130061.0,5203.0,1389022.37,1.39
1130079.0,4299.0,1147685.41,1.15
1130087.0,4029.0,1075604.68,1.08
1131283.0,27336.0,7297773.51,7.3
1131325.0,35506.0,9478883.02,9.48
1131333.0,23902.0,6381013.4,6.38
1131358.0,45997.0,12279619.84,12.28
1131374.0,69305.0,18502055.64,18.5
1131309.0,506516.0,135222382.4,135.22
1131317.0,2392.0,638581.88,0.64
1131341.0,51153.0,13656094.83,13.66
1131291.0,315689.0,84278124.83,84.28
1131366.0,23758.0,6342570.35,6.34
1131382.0,11519.0,3075177.53,3.08
1131978.0,60639.0,16188531.15,16.19
1131986.0,33485.0,8939345.4,8.94
1132109.0,74982.0,20017619.73,20.02
1132455.0,12271.0,3275935.71,3.28
1132463.0,8382.0,2237706.23,2.24
1132489.0,4597.0,1227241.18,1.23
1132497.0,106193.0,28349885.2,28.35
1132588.0,130268.0,34777083.67,34.78
1132471.0,538.0,143627.53,0.14
1132117.0,59781.0,15959474.61,15.96
1133255.0,241356.0,64433765.82,64.43
1133263.0,126467.0,33762347.16,33.76
1133909.0,299735.0,80018954.56,80.02
1133917.0,158094.0,42205670.35,42.21
1134519.0,265174.0,70792354.1,70.79
1134527.0,139363.0,37205136.42,37.21
1134535.0,264076.0,70499225.8,70.5
1134543.0,125117.0,33401943.51,33.4
1134550.0,883344.0,235822521.22,235.82
1134568.0,872930.0,233042340.75,233.04
1134576.0,278013.0,74219926.32,74.22
1134584.0,44520.0,11885311.55,11.89
1134592.0,104406.0,27872817.56,27.87
1134600.0,87101.0,23252976.67,23.25
1134626.0,26200.0,6994500.51,6.99
1134618.0,41815.0,11163169.42,11.16
1135276.0,120698.0,32222222.22,32.22
1135268.0,32008.0,8545037.11,8.55
1135292.0,115729.0,30895669.82,30.9
1135284.0,11625.0,3103475.89,3.1
1135334.0,58662.0,15660740.03,15.66
1135326.0,80120.0,21389289.34,21.39
1135300.0,26764.0,7145069.14,7.15
1135318.0,19516.0,5210101.98,5.21
1135359.0,39007.0,10413529.82,10.41
1135342.0,28155.0,7516418.39,7.52
1135953.0,83801.0,22371989.96,22.37
1135961.0,122912.0,32813284.21,32.81
1136332.0,10007.0,2671525.44,2.67
1136340.0,12440.0,3321052.91,3.32
1136357.0,521.0,139089.11,0.14
1137991.0,12289.0,3280741.1,3.28
1138007.0,5234.0,1397298.31,1.4
1138015.0,521570.0,139241283.57,139.24
1138023.0,279422.0,74596080.94,74.6
1138080.0,30881.0,8244166.8,8.24
1138031.0,8048.0,2148539.7,2.15
1138049.0,24192.0,6458433.45,6.46
1138056.0,2350.0,627369.32,0.63
1138064.0,66052.0,17633616.32,17.63
1138072.0,151234.0,40374285.87,40.37
1138783.0,3808.0,1016605.26,1.02
1138791.0,9550.0,2549522.13,2.55
1138809.0,24151.0,6447487.85,6.45
1139047.0,72821.0,19440706.93,19.44
1139054.0,18756.0,5007208.07,5.01
1139062.0,7770.0,2074323.24,2.07
1096437.0,569806.0,152118639.54,152.12
1096486.0,1061040.0,283261252.6,283.26
1096494.0,25636.0,6843931.87,6.84
1096502.0,15742.0,4202573.55,4.2
1097971.0,22898.0,6112979.87,6.11
1125319.0,2263858.0,604372363.71,604.37
1125327.0,1885094.0,503255379.36,503.26
1125368.0,39894.0,10650328.37,10.65
1125350.0,19239.0,5136152.49,5.14
1108364.0,58280.0,15558759.14,15.56
1097187.0,10938.0,2920070.48,2.92
1097195.0,3783.0,1009931.12,1.01
1097203.0,2824.0,753911.05,0.75
1101385.0,15553.0,4152117.04,4.15
1101393.0,20689.0,5523252.71,5.52
1101419.0,90445.0,24145709.86,24.15
1101427.0,65574.0,17506006.73,17.51
1101435.0,60861.0,16247797.53,16.25
1108372.0,6837.0,1825244.27,1.83
1125343.0,147699.0,39430562.23,39.43
1125335.0,51764.0,13819210.85,13.82
1121805.0,8376.0,2236104.44,2.24
1121813.0,12748.0,3403278.34,3.4
1121789.0,37411.0,9987452.61,9.99
1096478.0,1466.0,391371.67,0.39
1107978.0,2806.0,749105.67,0.75
1107994.0,31397.0,8381921.08,8.38
1114552.0,2858.0,762987.88,0.76
1116573.0,189.0,50456.51,0.05
1114578.0,246.0,65673.55,0.07
1116581.0,161123.0,43014309.36,43.01
1101443.0,1352302.0,361018207.06,361.02
1109461.0,651944.0,174046665.6,174.05
1109479.0,300770.0,80295264.03,80.3
1125228.0,78101.0,20850285.65,20.85
1125293.0,50016.0,13352554.86,13.35
1125301.0,22402.0,5980564.9,5.98
1108158.0,39894.0,10650328.37,10.65
1108190.0,132449.0,35359335.79,35.36
1101344.0,140152.0,37415772.33,37.42
1101351.0,65513.0,17489721.82,17.49
1108166.0,21070.0,5624966.63,5.62
1108174.0,86715.0,23149927.92,23.15
1101377.0,74366.0,19853168.88,19.85
1108182.0,29502.0,7876021.14,7.88
1125236.0,13277.0,3544503.18,3.54
1125244.0,233889.0,62440333.17,62.44
1125251.0,101697.0,27149607.56,27.15
1121771.0,48349.0,12907523.09,12.91
1104199.0,10850.0,2896577.5,2.9
1104207.0,3600.0,961076.41,0.96
1104215.0,10435.0,2785786.75,2.79
1108380.0,18665.0,4982914.2,4.98
1108398.0,5779.0,1542794.6,1.54
1116599.0,5273.0,1407709.97,1.41
1129139.0,282822.0,75503764.22,75.5
1129113.0,93445.0,24946606.87,24.95
1128891.0,71894.0,19193229.75,19.19
1129147.0,28272.0,7547653.37,7.55
1129162.0,797342.0,212862939.83,212.86
1113703.0,786645.0,210007208.07,210.01
1113232.0,1432414.0,382405360.67,382.41
1113745.0,486069.0,129763735.38,129.76
1116383.0,124724.0,33297026.0,33.3
1116417.0,36982.0,9872924.34,9.87
1116409.0,22188.0,5923434.25,5.92
1113752.0,360784.0,96316941.64,96.32
1116391.0,50049.0,13361364.73,13.36
1116284.0,12687.0,3386993.43,3.39
1122613.0,14904.0,3978856.32,3.98
1122621.0,12432.0,3318917.19,3.32
1113711.0,7395.0,1974211.12,1.97
1113729.0,86919.0,23204388.92,23.2
1120831.0,32624.0,8709487.96,8.71
1116425.0,82018.0,21895990.18,21.9
1116433.0,124405.0,33211863.95,33.21
1113265.0,64356.0,17180842.54,17.18
1113737.0,3362.0,897538.58,0.9
1120864.0,65345.0,17444871.59,17.44
1116292.0,337360.0,90063537.83,90.06
1113240.0,508377.0,135719205.51,135.72
1113760.0,157816.0,42131453.9,42.13
1113257.0,443065.0,118283143.79,118.28
1127778.0,297197.0,79341395.7,79.34
1127786.0,84845.0,22650702.12,22.65
1128578.0,184751.0,49322174.17,49.32
1130343.0,115142.0,30738960.97,30.74
1132638.0,39164.0,10455443.43,10.46
1134725.0,19387.0,5175663.41,5.18
1137769.0,16937.0,4521597.52,4.52
1137751.0,10416.0,2780714.4,2.78
1123223.0,12970.0,3462544.72,3.46
1121185.0,156052.0,41660526.46,41.66
1138619.0,110385.0,29469005.29,29.47
1116441.0,1082958.0,289112606.12,289.11
1116458.0,628390.0,167758556.25,167.76
1116300.0,11658.0,3112285.76,3.11
1116466.0,41743.0,11143947.89,11.14
1116474.0,25020.0,6679481.02,6.68
1124155.0,238311.0,63620855.36,63.62
1128164.0,54481.0,14544556.57,14.54
