cusip,assets_nis_1000s,assets_usd,assets_usd_mn
1093160.0,75972.0,21567636.62,21.57
1096718.0,10878.0,3088147.62,3.09
1097500.0,25215.0,7158268.28,7.16
1097526.0,159969.0,45413484.74,45.41
1097575.0,17038.0,4836905.61,4.84
1097617.0,3651.0,1036479.77,1.04
1097625.0,50478.0,14330163.24,14.33
1098102.0,68871.0,19551738.82,19.55
1098110.0,70573.0,20034918.38,20.03
1098441.0,7515.0,2133427.96,2.13
1099308.0,39566.0,11232363.38,11.23
1099464.0,196576.0,55805819.73,55.81
1099472.0,127724.0,36259474.8,36.26
1101633.0,1210141.0,343546061.04,343.55
1102912.0,233131.0,66183392.48,66.18
1102920.0,5896.0,1673811.21,1.67
1103167.0,38272.0,10865010.65,10.87
1105550.0,165100.0,46870120.65,46.87
1105725.0,50116.0,14227395.32,14.23
1105733.0,38145.0,10828956.71,10.83
1105741.0,22928.0,6509013.48,6.51
1105758.0,20363.0,5780837.47,5.78
1105766.0,25332.0,7191483.32,7.19
1105774.0,2297.0,652093.68,0.65
1105832.0,41365.0,11743080.2,11.74
1106053.0,154149.0,43761249.11,43.76
1106269.0,29424.0,8353158.27,8.35
1107721.0,48626.0,13804400.28,13.8
1107739.0,29461.0,8363662.17,8.36
1107747.0,10637.0,3019730.31,3.02
1107754.0,38217.0,10849396.74,10.85
1107762.0,200985.0,57057487.58,57.06
1108059.0,73210.0,20783534.42,20.78
1108067.0,302187.0,85787650.82,85.79
1108075.0,43095.0,12234208.66,12.23
1108083.0,5213.0,1479914.83,1.48
1108091.0,113487.0,32217743.08,32.22
1108109.0,319573.0,90723349.89,90.72
1109230.0,221442.0,62865010.65,62.87
1109248.0,789605.0,224160397.44,224.16
1111657.0,98582.0,27986373.31,27.99
1111665.0,145322.0,41255358.41,41.26
1111889.0,24657.0,6999858.06,7.0
1111897.0,12313.0,3495528.74,3.5
1111905.0,129487.0,36759971.61,36.76
1115161.0,2080.0,590489.71,0.59
1116334.0,652034.0,185105464.87,185.11
1116342.0,6.0,1703.34,0.0
1116367.0,356.0,101064.58,0.1
1116375.0,95284.0,27050106.46,27.05
1116854.0,1428.0,405393.9,0.41
1116896.0,45149.0,12817317.25,12.82
1116904.0,869556.0,246857629.52,246.86
1116912.0,415526.0,117963378.28,117.96
1116920.0,81638.0,23176153.3,23.18
1116938.0,212911.0,60443151.17,60.44
1116946.0,70274.0,19950035.49,19.95
1116953.0,85604.0,24302058.2,24.3
1116961.0,153614.0,43609368.35,43.61
1116979.0,2201533.0,624991625.27,624.99
1116987.0,195176.0,55408374.73,55.41
1116995.0,5003.0,1420298.08,1.42
1117001.0,82304.0,23365223.56,23.37
1117019.0,197854.0,56168630.23,56.17
1117027.0,5664.0,1607948.9,1.61
1117035.0,10948.0,3108019.87,3.11
1117043.0,18763.0,5326614.62,5.33
1117050.0,86451.0,24542512.42,24.54
1117084.0,207514.0,58911000.71,58.91
1117092.0,381883.0,108412491.13,108.41
1117100.0,19841.0,5632647.27,5.63
1117118.0,7706.0,2187650.82,2.19
1117126.0,4899.0,1390773.6,1.39
1117142.0,8993.0,2553016.32,2.55
1117159.0,12395.0,3518807.67,3.52
1117175.0,5300.0,1504613.2,1.5
1117183.0,4310.0,1223562.81,1.22
1117191.0,3139.0,891128.46,0.89
1117209.0,3947.0,1120511.0,1.12
1117241.0,679456.0,192890276.79,192.89
1117258.0,9316.0,2644712.56,2.64
1117266.0,2090476.0,593463733.14,593.46
1117274.0,28144.0,7989779.99,7.99
1117282.0,140622.0,39921078.78,39.92
1117290.0,989387.0,280876366.22,280.88
1117308.0,265452.0,75358978.0,75.36
1117316.0,68498.0,19445848.12,19.45
1117324.0,2025965.0,575149751.6,575.15
1117589.0,17649.0,5010361.96,5.01
