cusip,assets_nis_1000s,assets_usd,assets_usd_mn
1084656.0,723190.0,197922767.45,197.92
1096593.0,1246898.0,341251265.77,341.25
1104645.0,738888.0,202218998.88,202.22
1099506.0,55498.0,15188702.48,15.19
1113307.0,648158.0,177387996.39,177.39
1115740.0,33503.0,9169106.98,9.17
1114263.0,83997.0,22988313.86,22.99
1118769.0,174708.0,47814116.42,47.81
1125806.0,18504.0,5064178.0,5.06
1104603.0,547530.0,149848107.5,149.85
1109412.0,363288.0,99424724.27,99.42
1109420.0,1670411.0,457158378.72,457.16
1116326.0,1468377.0,401865677.77,401.87
1107945.0,131296.0,35933112.56,35.93
1109438.0,58436.0,15992774.84,15.99
1109446.0,528979.0,144771066.53,144.77
1109453.0,309112.0,84597826.98,84.6
1112853.0,20615.0,5641916.86,5.64
1112861.0,132826.0,36351843.24,36.35
1112879.0,241159.0,66000437.89,66.0
1118389.0,97492.0,26681627.85,26.68
1127752.0,335663.0,91864309.37,91.86
1127760.0,132479.0,36256876.21,36.26
1096635.0,212150.0,58061249.62,58.06
1107903.0,10387.0,2842716.0,2.84
1117399.0,1155038.0,316111004.68,316.11
1116060.0,711111.0,194616984.59,194.62
1118801.0,691757.0,189320178.44,189.32
1120195.0,288929.0,79074139.96,79.07
1120187.0,143722.0,39333862.45,39.33
1122795.0,58405.0,15984290.76,15.98
1107937.0,7329.0,2005802.02,2.01
1099522.0,24714.0,6763731.9,6.76
1104637.0,40410.0,11059415.97,11.06
1107895.0,10089.0,2761159.31,2.76
1123652.0,214527.0,58711787.41,58.71
1120203.0,302653.0,82830126.71,82.83
1099530.0,5720.0,1565450.61,1.57
1104629.0,37442.0,10247133.2,10.25
1117563.0,7847.0,2147568.35,2.15
1122779.0,4238.0,1159856.59,1.16
1122787.0,13130.0,3593420.73,3.59
1107911.0,11444.0,3131995.95,3.13
1107929.0,29823.0,8161963.93,8.16
1124098.0,38287.0,10478392.95,10.48
1125749.0,106854.0,29243821.67,29.24
1124106.0,76019.0,20804893.4,20.8
1096627.0,4490.0,1228824.0,1.23
1099555.0,3924.0,1073921.02,1.07
1096650.0,7702.0,2107884.73,2.11
1126242.0,106503.0,29147759.93,29.15
1126440.0,7498.0,2052053.97,2.05
1126465.0,5397.0,1477051.92,1.48
1124114.0,216851.0,59347820.14,59.35
1124122.0,71103.0,19459481.65,19.46
1115229.0,57233.0,15663537.59,15.66
1115237.0,24567.0,6723500.92,6.72
1116052.0,40972.0,11213224.23,11.21
1117381.0,6574.0,1799173.49,1.8
1117878.0,41277.0,11296696.68,11.3
1118371.0,2849.0,779714.83,0.78
1118397.0,2251.0,616054.08,0.62
1126457.0,15658.0,4285284.22,4.29
1124130.0,1994.0,545718.27,0.55
1126473.0,944.0,258354.09,0.26
1125798.0,4753.0,1300801.88,1.3
1129006.0,81217.0,22227482.96,22.23
1127950.0,61849.0,16926845.29,16.93
1128529.0,370285.0,101339664.47,101.34
1128495.0,584358.0,159927201.07,159.93
1128503.0,177675.0,48626125.51,48.63
1128511.0,96648.0,26450641.78,26.45
1129964.0,517822.0,141717616.79,141.72
1129972.0,192441.0,52667287.01,52.67
1130046.0,690459.0,188964941.57,188.96
1130004.0,96501.0,26410410.79,26.41
1130053.0,3189.0,872766.09,0.87
1130061.0,5103.0,1396589.94,1.4
1130079.0,4282.0,1171898.52,1.17
1130087.0,3359.0,919291.72,0.92
1131283.0,2886.0,789840.99,0.79
1131325.0,39688.0,10861818.88,10.86
1131333.0,25231.0,6905224.55,6.91
1131358.0,47275.0,12938230.38,12.94
1131374.0,71762.0,19639836.89,19.64
1131309.0,484040.0,132472153.04,132.47
1131317.0,2084.0,570349.49,0.57
1131341.0,30406.0,8321519.47,8.32
1131291.0,293304.0,80271490.74,80.27
1131366.0,26681.0,7302060.81,7.3
1131382.0,9749.0,2668108.05,2.67
1131978.0,54791.0,14995210.6,15.0
1131986.0,30466.0,8337940.28,8.34
1132109.0,72097.0,19731519.75,19.73
1132455.0,11064.0,3027997.48,3.03
1132463.0,8708.0,2383206.98,2.38
1132489.0,4791.0,1311201.73,1.31
1132497.0,107621.0,29453734.37,29.45
1132588.0,134798.0,36891540.55,36.89
1132471.0,549.0,150250.42,0.15
1132117.0,71069.0,19450176.52,19.45
1133255.0,214504.0,58705492.76,58.71
1133263.0,120406.0,32952735.43,32.95
1133909.0,290410.0,79479460.3,79.48
1133917.0,152843.0,41830099.35,41.83
1134519.0,276457.0,75660800.79,75.66
1134527.0,193427.0,52937135.66,52.94
1134535.0,315951.0,86469525.71,86.47
1134543.0,125020.0,34215495.77,34.22
1134550.0,886572.0,242637182.19,242.64
1134568.0,885573.0,242363775.69,242.36
1134576.0,279350.0,76452557.54,76.45
1134584.0,46967.0,12853936.89,12.85
1134592.0,108636.0,29731519.75,29.73
1134600.0,87867.0,24047456.14,24.05
1134626.0,26847.0,7347491.72,7.35
1134618.0,39918.0,10924765.32,10.92
1135276.0,122961.0,33651988.29,33.65
1135268.0,32051.0,8771723.36,8.77
1135292.0,125442.0,34330988.81,34.33
1135284.0,10294.0,2817263.75,2.82
1135334.0,77401.0,21183119.41,21.18
1135326.0,83405.0,22826295.19,22.83
1135300.0,26866.0,7352691.64,7.35
1135318.0,16832.0,4606584.75,4.61
1135359.0,37624.0,10296942.99,10.3
1135342.0,26988.0,7386080.63,7.39
1135953.0,77914.0,21323517.34,21.32
1135961.0,111021.0,30384246.97,30.38
1136332.0,10175.0,2784695.8,2.78
1136340.0,15839.0,4334820.33,4.33
1136357.0,405.0,110840.47,0.11
1137991.0,58089.0,15897807.82,15.9
1138007.0,12134.0,3320835.27,3.32
1138015.0,531592.0,145486192.84,145.49
1138023.0,217527.0,59532827.94,59.53
1138080.0,51437.0,14077287.28,14.08
1138031.0,6935.0,1897972.03,1.9
1138049.0,23592.0,6456662.74,6.46
1138056.0,2347.0,642327.38,0.64
1138064.0,78886.0,21589534.47,21.59
1138072.0,125033.0,34219053.61,34.22
1138783.0,3556.0,973206.71,0.97
1138791.0,7989.0,2186430.94,2.19
1138809.0,23280.0,6371274.53,6.37
1139047.0,103849.0,28421412.74,28.42
1139054.0,22041.0,6032184.79,6.03
1139062.0,7512.0,2055885.49,2.06
1096437.0,825310.0,225870987.16,225.87
1096486.0,935023.0,255897260.46,255.9
1096494.0,28035.0,7672623.77,7.67
1096502.0,14487.0,3964804.73,3.96
1097971.0,24595.0,6731163.96,6.73
1125319.0,2280576.0,624148444.13,624.15
1125327.0,1901004.0,520267111.85,520.27
1125368.0,39518.0,10815293.25,10.82
1125350.0,20282.0,5550781.36,5.55
1108364.0,59067.0,16165467.04,16.17
1097187.0,10824.0,2962314.24,2.96
1097195.0,2662.0,728536.63,0.73
1097203.0,2702.0,739483.84,0.74
1101385.0,23505.0,6432852.57,6.43
1101393.0,21744.0,5950901.78,5.95
1101419.0,90847.0,24863023.07,24.86
1101427.0,53707.0,14698541.28,14.7
1101435.0,60100.0,16448178.66,16.45
1108372.0,6672.0,1825994.14,1.83
1125343.0,140050.0,38328908.84,38.33
1125335.0,49313.0,13495990.59,13.5
1121805.0,10253.0,2806042.86,2.81
1121813.0,8587.0,2350091.68,2.35
1121789.0,37150.0,10167218.59,10.17
1096478.0,1406.0,384794.33,0.38
1107978.0,2522.0,690221.41,0.69
1107994.0,30734.0,8411286.57,8.41
1114552.0,2801.0,766578.18,0.77
1116573.0,1905.0,521360.74,0.52
1114578.0,247.0,67599.0,0.07
1116581.0,163466.0,44737403.87,44.74
1101443.0,1384281.0,378850269.57,378.85
1109461.0,624754.0,170982785.52,170.98
1109479.0,301948.0,82637182.19,82.64
1125228.0,76700.0,20991269.6,20.99
1125293.0,50239.0,13749418.43,13.75
